ID;titleName;movieRef;licensor;territory;licenseStart;licenseEnd;exclusive
T001;The Shawshank Redemption;M001;Netflix;USA;2025-01-01;2026-12-31;false
T002;The Godfather;M002;HBO Max;USA;2024-06-01;2026-05-31;true
T003;Pulp Fiction;M003;Netflix;GLB;2025-03-01;2027-02-28;false
T004;The Dark Knight;M004;HBO Max;USA;2025-01-01;2027-12-31;true
T005;Fight Club;M005;Disney+;USA;2025-06-01;2026-05-31;false
T006;Inception;M006;Amazon Prime;GLB;2025-01-01;2026-12-31;false
T007;The Matrix;M007;HBO Max;USA;2025-02-01;2027-01-31;true
T008;Forrest Gump;M008;Netflix;USA;2025-04-01;2026-03-31;false
T009;Interstellar;M009;Amazon Prime;GLB;2025-01-01;2027-12-31;false
T010;The Fellowship of the Ring;M010;HBO Max;GLB;2025-01-01;2028-12-31;true
T011;The Two Towers;M011;HBO Max;GLB;2025-01-01;2028-12-31;true
T012;The Return of the King;M012;HBO Max;GLB;2025-01-01;2028-12-31;true
T013;Star Wars: A New Hope;M013;Disney+;GLB;2024-01-01;2029-12-31;true
T014;Titanic;M015;Amazon Prime;USA;2025-05-01;2026-04-30;false
T015;Joker;M017;HBO Max;USA;2025-01-01;2026-12-31;false
