ID;name;birthYear;nationality;bio
A001;Leonardo DiCaprio;1974;American;Known for Titanic Inception and The Revenant
A002;Brad Pitt;1963;American;Known for Fight Club and Once Upon a Time in Hollywood
A003;Tom Hanks;1956;American;Two-time Oscar winner
A004;Al Pacino;1940;American;The Godfather and Scarface
A005;Robert De Niro;1943;American;Goodfellas and Taxi Driver
A006;Morgan Freeman;1937;American;The Shawshank Redemption and Seven
A007;Samuel L. Jackson;1948;American;Pulp Fiction and the MCU
A008;Tom Hardy;1977;British;Inception and Mad Max
A009;Christian Bale;1974;British;The Dark Knight trilogy
A010;Robert Downey Jr.;1965;American;Iron Man and Sherlock Holmes
A011;Elijah Wood;1981;American;Frodo in The Lord of the Rings
A012;Mark Hamill;1951;American;Luke Skywalker in Star Wars
A013;Harrison Ford;1942;American;Han Solo and Indiana Jones
A014;Carrie Fisher;1956;American;Princess Leia in Star Wars
A015;Uma Thurman;1970;American;Pulp Fiction and Kill Bill
A016;Joaquin Phoenix;1974;Puerto Rican;Academy Award winner for Joker
A017;Tim Robbins;1958;American;The Shawshank Redemption and Mystic River
A018;John Travolta;1954;American;Pulp Fiction and Grease
A019;Keanu Reeves;1964;Canadian;The Matrix and John Wick
A020;Matthew McConaughey;1969;American;Interstellar and Dallas Buyers Club
