ID;title;year;runtime;avgRating;voteCount;posterUrl;synopsis;releaseDate;language;country;modifiedAt;genre_ID;director_ID
M001;The Shawshank Redemption;1994;142;9.3;2500000;https://placehold.co/200x300/png?text=M001;Two imprisoned men bond over years finding solace and eventual redemption;1994-10-14;EN;USA;2025-01-15T10:00:00Z;G001;D014
M002;The Godfather;1972;175;9.2;1800000;https://placehold.co/200x300/png?text=M002;The aging patriarch of an organised crime dynasty transfers control to his son;1972-03-24;EN;USA;2025-01-15T10:00:00Z;G009;D006
M003;Pulp Fiction;1994;154;8.9;2100000;https://placehold.co/200x300/png?text=M003;The lives of two mob hitmen a boxer and a pair of diner bandits intertwine;1994-10-14;EN;USA;2025-01-15T10:00:00Z;G009;D003
M004;The Dark Knight;2008;152;9.0;2700000;https://placehold.co/200x300/png?text=M004;Batman must accept one of the greatest psychological tests of his ability;2008-07-18;EN;USA;2025-01-15T10:00:00Z;G004;D002
M005;Fight Club;1999;139;8.8;2100000;https://placehold.co/200x300/png?text=M005;An insomniac office worker forms an underground fight club;1999-10-15;EN;USA;2025-01-15T10:00:00Z;G002;D009
M006;Inception;2010;148;8.8;2400000;https://placehold.co/200x300/png?text=M006;A thief who steals corporate secrets through dream-sharing technology;2010-07-16;EN;USA;2025-01-15T10:00:00Z;G003;D002
M007;The Matrix;1999;136;8.7;2000000;https://placehold.co/200x300/png?text=M007;A computer hacker learns about the true nature of his reality;1999-03-31;EN;USA;2025-01-15T10:00:00Z;G003;D016
M008;Forrest Gump;1994;142;8.8;2000000;https://placehold.co/200x300/png?text=M008;The life of a slow-witted but kind-hearted man from Alabama;1994-07-06;EN;USA;2025-01-15T10:00:00Z;G001;D013
M009;Interstellar;2014;169;8.7;1800000;https://placehold.co/200x300/png?text=M009;A team of explorers travel through a wormhole in space;2014-11-07;EN;USA;2025-01-15T10:00:00Z;G003;D002
M010;The Fellowship of the Ring;2001;178;8.9;1900000;https://placehold.co/200x300/png?text=M010;A hobbit inherits a powerful ring and sets out to destroy it;2001-12-19;EN;NZL;2025-01-15T10:00:00Z;G008;D007
M011;The Two Towers;2002;179;8.8;1700000;https://placehold.co/200x300/png?text=M011;The Fellowship is broken and the hobbits continue their journey;2002-12-18;EN;NZL;2025-01-15T10:00:00Z;G008;D007
M012;The Return of the King;2003;201;9.0;1900000;https://placehold.co/200x300/png?text=M012;The final confrontation between the forces of good and evil in Middle-earth;2003-12-17;EN;NZL;2025-01-15T10:00:00Z;G008;D007
M013;Star Wars: A New Hope;1977;121;8.6;1500000;https://placehold.co/200x300/png?text=M013;Luke Skywalker joins forces with a Jedi Knight to rescue Princess Leia;1977-05-25;EN;USA;2025-01-15T10:00:00Z;G003;D017
M014;Jurassic Park;1993;127;8.2;1100000;https://placehold.co/200x300/png?text=M014;A pragmatic paleontologist tours an almost-complete theme park;1993-06-11;EN;USA;2025-01-15T10:00:00Z;G010;D001
M015;Titanic;1997;195;7.9;1200000;https://placehold.co/200x300/png?text=M015;A romance blossoms aboard the ill-fated R.M.S. Titanic;1997-12-19;EN;USA;2025-01-15T10:00:00Z;G006;D008
M016;Avatar;2009;162;7.9;1300000;https://placehold.co/200x300/png?text=M016;A paraplegic Marine dispatched to the moon Pandora;2009-12-18;EN;USA;2025-01-15T10:00:00Z;G003;D008
M017;Joker;2019;122;8.4;1400000;https://placehold.co/200x300/png?text=M017;A failed comedian in Gotham City descends into madness;2019-10-04;EN;USA;2025-01-15T10:00:00Z;G001;D015
M018;Parasite;2019;132;8.6;900000;https://placehold.co/200x300/png?text=M018;Greed and class discrimination threaten a symbiotic relationship;2019-11-08;KO;KOR;2025-01-15T10:00:00Z;G001;D010
M019;Goodfellas;1990;146;8.7;1200000;https://placehold.co/200x300/png?text=M019;The story of Henry Hill and his life in the mob;1990-09-19;EN;USA;2025-01-15T10:00:00Z;G009;D005
M020;Schindler's List;1993;195;9.0;1400000;https://placehold.co/200x300/png?text=M020;In German-occupied Poland during WWII a businessman saves Jewish workers;1993-12-15;EN;USA;2025-01-15T10:00:00Z;G001;D001
