ID;movie_ID;region_code;bitrate;drmScheme;maxResolution;availableFrom;availableUntil;manifestUrl
S001;M001;NA;6000;Widevine;4K;2025-01-01;2026-12-31;https://cdn.example.com/manifests/M001-NA.mpd
S002;M001;EU;5000;PlayReady;1080p;2025-01-01;2026-12-31;https://cdn.example.com/manifests/M001-EU.mpd
S003;M001;LATAM;3500;Widevine;720p;2025-01-01;2026-12-31;https://cdn.example.com/manifests/M001-LATAM.mpd
S004;M001;APAC;5000;Widevine;1080p;2025-01-01;2026-12-31;https://cdn.example.com/manifests/M001-APAC.mpd
S005;M001;AFRICA;2500;Widevine;720p;2025-01-01;2026-12-31;https://cdn.example.com/manifests/M001-AFRICA.mpd
S006;M004;NA;8000;Widevine;4K;2025-01-01;2027-12-31;https://cdn.example.com/manifests/M004-NA.mpd
S007;M004;EU;6000;PlayReady;1080p;2025-01-01;2027-12-31;https://cdn.example.com/manifests/M004-EU.mpd
S008;M004;LATAM;3500;Widevine;720p;2025-01-01;2027-12-31;https://cdn.example.com/manifests/M004-LATAM.mpd
S009;M004;APAC;6000;Widevine;1080p;2025-01-01;2027-12-31;https://cdn.example.com/manifests/M004-APAC.mpd
S010;M004;AFRICA;2500;Widevine;720p;2025-01-01;2027-12-31;https://cdn.example.com/manifests/M004-AFRICA.mpd
S011;M006;NA;6000;Widevine;4K;2025-01-01;2026-12-31;https://cdn.example.com/manifests/M006-NA.mpd
S012;M006;EU;5000;PlayReady;1080p;2025-01-01;2026-12-31;https://cdn.example.com/manifests/M006-EU.mpd
S013;M006;APAC;5000;Widevine;1080p;2025-01-01;2026-12-31;https://cdn.example.com/manifests/M006-APAC.mpd
S014;M007;NA;6000;Widevine;4K;2025-02-01;2027-01-31;https://cdn.example.com/manifests/M007-NA.mpd
S015;M007;EU;5000;PlayReady;1080p;2025-02-01;2027-01-31;https://cdn.example.com/manifests/M007-EU.mpd
S016;M007;LATAM;3500;Widevine;720p;2025-02-01;2027-01-31;https://cdn.example.com/manifests/M007-LATAM.mpd
S017;M007;APAC;5000;Widevine;1080p;2025-02-01;2027-01-31;https://cdn.example.com/manifests/M007-APAC.mpd
S018;M007;AFRICA;2500;Widevine;720p;2025-02-01;2027-01-31;https://cdn.example.com/manifests/M007-AFRICA.mpd
S019;M009;NA;8000;Widevine;4K;2025-01-01;2027-12-31;https://cdn.example.com/manifests/M009-NA.mpd
S020;M009;EU;6000;PlayReady;1080p;2025-01-01;2027-12-31;https://cdn.example.com/manifests/M009-EU.mpd
S021;M009;APAC;6000;Widevine;1080p;2025-01-01;2027-12-31;https://cdn.example.com/manifests/M009-APAC.mpd
S022;M010;NA;8000;Widevine;4K;2025-01-01;2028-12-31;https://cdn.example.com/manifests/M010-NA.mpd
S023;M010;EU;6000;PlayReady;1080p;2025-01-01;2028-12-31;https://cdn.example.com/manifests/M010-EU.mpd
S024;M010;LATAM;3500;Widevine;720p;2025-01-01;2028-12-31;https://cdn.example.com/manifests/M010-LATAM.mpd
S025;M010;APAC;6000;Widevine;1080p;2025-01-01;2028-12-31;https://cdn.example.com/manifests/M010-APAC.mpd
S026;M010;AFRICA;2500;Widevine;720p;2025-01-01;2028-12-31;https://cdn.example.com/manifests/M010-AFRICA.mpd
S027;M013;NA;5000;Widevine;1080p;2024-01-01;2029-12-31;https://cdn.example.com/manifests/M013-NA.mpd
S028;M013;EU;5000;PlayReady;1080p;2024-01-01;2029-12-31;https://cdn.example.com/manifests/M013-EU.mpd
S029;M013;LATAM;3500;Widevine;720p;2024-01-01;2029-12-31;https://cdn.example.com/manifests/M013-LATAM.mpd
S030;M013;APAC;5000;Widevine;1080p;2024-01-01;2029-12-31;https://cdn.example.com/manifests/M013-APAC.mpd
S031;M013;AFRICA;2500;Widevine;720p;2024-01-01;2029-12-31;https://cdn.example.com/manifests/M013-AFRICA.mpd
S032;M017;NA;6000;Widevine;4K;2025-01-01;2026-12-31;https://cdn.example.com/manifests/M017-NA.mpd
S033;M017;EU;5000;PlayReady;1080p;2025-01-01;2026-12-31;https://cdn.example.com/manifests/M017-EU.mpd
S034;M017;APAC;5000;Widevine;1080p;2025-01-01;2026-12-31;https://cdn.example.com/manifests/M017-APAC.mpd
S035;M002;NA;6000;Widevine;4K;2024-06-01;2026-05-31;https://cdn.example.com/manifests/M002-NA.mpd
S036;M002;EU;5000;PlayReady;1080p;2024-06-01;2026-05-31;https://cdn.example.com/manifests/M002-EU.mpd
S037;M003;NA;6000;Widevine;4K;2025-03-01;2027-02-28;https://cdn.example.com/manifests/M003-NA.mpd
S038;M003;EU;5000;PlayReady;1080p;2025-03-01;2027-02-28;https://cdn.example.com/manifests/M003-EU.mpd
S039;M003;APAC;5000;Widevine;1080p;2025-03-01;2027-02-28;https://cdn.example.com/manifests/M003-APAC.mpd
S040;M005;NA;5000;Widevine;1080p;2025-06-01;2026-05-31;https://cdn.example.com/manifests/M005-NA.mpd
