BusinessPartner;AddressID;CityName;Country
000001;1;Berlin;DE
000002;1;Los Angeles;US
000003;1;Birmingham;GB
000004;1;Toulouse;FR
000005;1;Ottawa;CA
000006;1;Sydney;AU
000007;1;Shanghai;CN
000008;1;Bangalore;IN
000009;1;Haifa;IL
000010;1;Mandalay;MM
000011;1;Berlin;DE
000012;1;Los Angeles;US
000013;1;Glasgow;GB
000014;1;Strasbourg;FR
000015;1;Vancouver;CA
000016;1;Sydney;AU
000017;1;Shanghai;CN
000018;1;Bangalore;IN
000019;1;Tel Aviv;IL
000020;1;Mandalay;MM
000021;1;Berlin;DE
000022;1;Los Angeles;US
000023;1;Bristol;GB
000024;1;Lyon;FR
000025;1;Toronto;CA
000026;1;Sydney;AU
000027;1;Shanghai;CN
000028;1;Bangalore;IN
000029;1;Jerusalem;IL
000030;1;Mandalay;MM
000031;1;Berlin;DE
000032;1;Los Angeles;US
000033;1;London;GB
000034;1;Nantes;FR
000035;1;Ottawa;CA
000036;1;Sydney;AU
000037;1;Shanghai;CN
000038;1;Bangalore;IN
000039;1;Haifa;IL
000040;1;Mandalay;MM
000041;1;Berlin;DE
000042;1;Los Angeles;US
000043;1;Birmingham;GB
000044;1;Marseille;FR
000045;1;Vancouver;CA
000046;1;Sydney;AU
000047;1;Shanghai;CN
000048;1;Bangalore;IN
000049;1;Tel Aviv;IL
000050;1;Mandalay;MM
000051;1;Berlin;DE
000052;1;Los Angeles;US
000053;1;Glasgow;GB
000054;1;Nice;FR
000055;1;Toronto;CA
000056;1;Sydney;AU
000057;1;Shanghai;CN
000058;1;Bangalore;IN
000059;1;Jerusalem;IL
000060;1;Mandalay;MM
000061;1;Berlin;DE
000062;1;Los Angeles;US
000063;1;Bristol;GB
000064;1;Paris;FR
000065;1;Ottawa;CA
000066;1;Sydney;AU
000067;1;Shanghai;CN
000068;1;Bangalore;IN
000069;1;Haifa;IL
000070;1;Mandalay;MM
000071;1;Berlin;DE
000072;1;Los Angeles;US
000073;1;London;GB
000074;1;Toulouse;FR
000075;1;Vancouver;CA
000076;1;Sydney;AU
000077;1;Shanghai;CN
000078;1;Bangalore;IN
000079;1;Tel Aviv;IL
000080;1;Mandalay;MM
000081;1;Berlin;DE
000082;1;Los Angeles;US
000083;1;Birmingham;GB
000084;1;Strasbourg;FR
000085;1;Toronto;CA
000086;1;Sydney;AU
000087;1;Shanghai;CN
000088;1;Bangalore;IN
000089;1;Jerusalem;IL
000090;1;Mandalay;MM
000091;1;Berlin;DE
000092;1;Los Angeles;US
000093;1;Glasgow;GB
000094;1;Lyon;FR
000095;1;Ottawa;CA
000096;1;Sydney;AU
000097;1;Shanghai;CN
000098;1;Bangalore;IN
000099;1;Haifa;IL
000100;1;Mandalay;MM
000101;1;Berlin;DE
000102;1;Los Angeles;US
000103;1;Bristol;GB
